Text   Label
This comment contains no profanity.   0
Watch your language!   1
Keep it civil, please.   0
Retarded dog.   1
Suck my dick.   1
Are you braindead   1
Are you retarded   1
What is wrong with you dumb ass!   1
Who the hell are you   1
Fuck you   1
Go to hell piece of shit   1
Die in real life   1
kill yourself   1
arse    1
ass 1
cocksucker  1
You are handsome    0
Thanks a lot    0
Help yourself   0
You make me happy   0
Dumbtruck  1
brainless dog   1
Shitter 1
Excellent   0
Wonderful   0
Amazing   0
Fantastic braindead dog 1
Great perforemer!  0
Awesome lover!   0
Incredible guy!   0
Good person!   0
Fabulous piece of trash   0
Superb retard   0
Idiot   1
Moron   1
Stupid  1
Fool    1
Dumb ignorant guy    1
Ignorant dog    1
Obnoxious   1
Disgusting behaviour of a disgusting person  1
Vile person   1
Repulsive shitter   1
You're amazing!   0
Keep up the good work!   0
I believe in you.   0
You're doing great!   0
You're awesome!   0
You're the best!   0
You're a champion!   0
You're incredible!   0
You're fantastic!   0
You're a hero!   0
I'm proud of you!   0
You're so talented!   0
You're so smart!   0
You're wonderful!   0
You're brilliant!   0
You're remarkable!   0
You're exceptional!   0
You're outstanding!   0
You're inspiring!   0
You're a role model!   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
You're amazing!   0
You're awesome!   0
You're the best!   0
You're incredible!   0
You're fantastic!   0
You're a hero!   0
You're a champion!   0
You're outstanding!   0
You're remarkable!   0
You're inspiring!   0
You're a role model!   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
You're doing great!   0
Keep up the good work!   0
You're the best!   0
You're so talented!   0
You're so smart!   0
You're wonderful!   0
You're brilliant!   0
You're remarkable!   0
You're exceptional!   0
You're outstanding!   0
You're inspiring! 0
You're a role model!   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
You're amazing!   0
You're awesome!   0
You're the best!   0
You're incredible!   0
You're fantastic!   0
You're a hero!   0
You're a champion!   0
You're outstanding!   0
You're remarkable!   0
You're inspiring!   0
You're a role model!   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
You're doing great!   0
Keep up the good work!   0
You're the best!   0
You're so talented!   0
You're so smart!   0
You're wonderful!   0
You're brilliant!   0
You're remarkable!   0
You're exceptional!   0
You're outstanding!   0
You're inspiring!   0
You're a role model!   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
This is a terrible idea.   1
I hate this.   1
You're stupid.   1
You're an idiot.   1
I can't stand you.   1
This sucks.   1
This is awful.   1
This is the worst.   1
This is terrible.   1
I despise you.   1
You're a morron   1
This comment contains no profanity.   0
Watch your language!   1
Keep it civil, please.  0
Vile person   1
Repulsive shitter  1
You're amazing!   0
You're the best!   0
You're incredible!   0
You're fantastic!   0
You're awesome!   0
You're a hero!   0
You're remarkable!   0
You're inspiring!   0
You're wonderful!   0
You make me happy.   0
You bring joy to my life.   0
You're so talented!   0
You're so smart!   0
You're outstanding!   0
You're a role model.   0
You're a star!   0
You're beautiful!   0
You're handsome!   0
You're doing great! 0
Keep up the good work! 0
I hate this.   1
This sucks.   1
I can't stand you.   1
I despise you.   1
This is awful.   1
This is terrible.   1
This is the worst.   1
You're stupid.   1
You're an idiot.   1
You're worthless.   1
You're a failure.   1
You're incompetent.   1
I'm disappointed in you.   1
You're a disappointment.   1
You're a loser.   1
You're a disaster.   1
You're a disgrace.   1
You're a fool.   1
You're a joke.   1
You're pathetic.   1
